pers_name,event_after-date,event_before-date,event_start,event_end,display_date,event_type,pers_function,inst_name,place_name,place_count,country,# Full Address,Latitude,Longitude,comment,source,e_count,s_count
Marquard Schenk von Castell,#,#,28.07.1637,#,1637,Amtsantritt,Bischof,Bistum Eichstätt,Eichstätt,3,Germany,Bistum Eichstätt Eichstätt Germany,48.8910779,11.185239,#,Braun: Das Domkapitel Eichstätt: S. 441,2,#
Lothar Friedrich von Metternich-Burscheid,#,#,12.02.1673,#,1673,Amtsantritt,Erzbischof,Erzbistum Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Christ: Metternich-Burscheidt: S. 20f.,2,#
Heinrich Wilhelm Harff von Dreyborn,#,1770,#,1780,1770,Amtsausübung,Vicedominus,#,Bingen,1,Germany,Bingen Germany,49.9667396,7.904596,ab 1780 im Staatskalender n. mehr aufgeführt.,Kurmainzer Hof- und Staatskalender 1780: S. 3.,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Spiritual,,Eichsfeld,1,Germany,Eichsfeld Germany,51.3770314,10.1439183,#,Klassert: Kollegialstift St. Peter: S. 54.,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Probst,Kollegiatstift ULF,Erfurt,5,Germany,Erfurt Germany,50.9847679,11.0298799,#,Orts- und Personenregister: S. 404 / Kurmainzer Hof- und Staatskalender 1779: S. 3.,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Probst,Kollegiatstift ULF,Erfurt,5,Germany,Erfurt Germany,50.9847679,11.0298799,#,Schrader: Cathedral Chapter Minden: S. 109 / Kurmainzer Hof- und Staatskalender 1779: S. 3,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,1732,#,#,Amtsausübung,Statthalter des Eichsfelds,Erzstift Mainz,Heiligenstadt,1,Germany,Heiligenstadt Germany,51.3770297,10.1439107,#,Nottarp: Mindener Domprobst: S. 121: 132 / Kurmainzer Hof- und Staatskalender 1740 / Kurmainzer Hof- und Staatskalender 1779: S. 3,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Geheimer Rat,Erzstift Mainz,Mainz,14,,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Kurmainzer Hof- und Staatskalender 1740 / Kurzmainzer Hof- und Staatskalender 1779: S. 3.,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Leitender Minister,Erzstift Mainz,Mainz,14,Germany,Kurfürstliches Schloss Mainz Germany,50.0069542,8.2698184,#,Nottarp: Mindener Domprobst: S. 121,12,#
Hugo Wolfgang von Kesselstatt,#,#,1720,18.12.1720,1720,Amtsausübung,Kämmerer des weltlichen Gerichts,Stadt Mainz,Mainz,3,Germany,Rathaus Mainz Germany,50.0003654,8.2769462,#,Schrohe: Stadt Mainz: S. 65,12,#
Karl Emmerich Franz von Breidbach-Bürresheim,1740,,#,#,1740,Amtsausübung,Geheimer Rat,Stadt Mainz,Mainz,3,Germany,Rathaus Mainz Germany,50.0003654,8.2769462,Amtsausübung mindestens seit 1740 (Staatskalender),Kurzmainzer Hof- und Staatskalender 1740: S. 2.,12,#
Karl Emmerich Franz von Breidbach-Bürresheim,#,#,1720,1743,1720,Amtsausübung,Kämmerer des weltlichen Gerichts der Stadt,Stadt Mainz,Malnz,3,Germany,Rathaus Mainz Germany,50.0003654,8.2769462,#,Verzeichnis der Mainzer Universitätsmatrikeln: S. 108 / Schrohe: Stadt Mainz: S. 65 / Kurzmainzer Hof- und Staatskalender Mainz 1743.,12,#
Hugo Franz Karl von Eltz (-Kempenich),#,#,#,#,#,Amtsausübung,Kommendatarabt,Stift Pecswarad,Fünfkirchen in Niederungarn,1,Hungary,Stift Pecswarad Fünfkirchen in Niederungarn Hungary,46.0727345,18.232266,#,Nottarp: Mindener Domprobst: S. 121 / Schrader: Cathedral Chapter Minden: S. 109 / Staatskalender Mainzer 1740 / Staatskalender Mainz 1779 / Orts- und Personenverzeichnis Westfällische Zeitschrift: S. 404,12,#
Johann Heppenheim genannt von Saal,1654,#,#,#,#,Amtsausübung,Kanzler,Universität Heidelberg,Heidelberg,2,Germany,Universität Heidelberg Germany,49.3987524,8.6724335,Genaues Datum nicht überliefert: dieses Amt fiel ihm als Wormser Domprobst zu,Wikipedia: Johann von Heppenheim genannt vom Saal,12,#
Christoph Rudolf von Stadion,#,#,1678,#,1678,Amtsniederlegung,Generalvikar,Erzbistum Mainz,Mainz,66,Germany,Dom Mainz Germany,49.9990056297492,8.273938609815461,#,Wurzbach: Stadion: S. 26,2,#
Johann Philipp Franz Graf von Schönborn,#,#,1721,#,1721,Amtsniederlegung,Rektor,Julius-Maximilians Universität,Würzburg,2,Germany,Julius-Maximilians Universität Würzburg Germany,49.7881814,9.93526,#,Würzburg Wiki: Schönborn,2,#
Dietrich Kaspar von Fürstenberg,#,#,1654,#,1654,Arbeit,Künstler. Alchemist,#,Mainz,12,Germany,Mainz Germany,49.9928617,8.2472526,#,Lahrkamp et al.: Geschichte: S. 99 - 102,1,#
Dietrich Kaspar von Fürstenberg,#,#,1650,1654,1650,Asyl im Deutschordenhaus,#,Deutschordenshaus Mechelen,Mechelen,1,Belgium,Mechelen Belgium,51.0259143,4.4775553,#,Lahrkamp et al.: Geschichte: S. 99,1,#
Dietrich Kaspar von Fürstenberg,#,#,15.10.1640,#,1640,Aufbruch nach Rom,#,#,Köln,5,Germany,Köln Germany,50.937531,6.9602786,#,Lahrkamp et al.: Geschichte: S. 97,1,#
Dietrich Kaspar von Fürstenberg,#,#,#,1650,#,Aufenthalt,auf Reisen,#,Brüssel,2,Belgium,Brüssel Belgium,50.8476424,4.3571696,#,Lahrkamp et al.: Geschichte: S. 99,3,#
Dietrich Kaspar von Fürstenberg,#,#,00.12.1641,00.10.1643,1641,Aufenthalt,#,#,Florenz,1,Italy,Florenz Italy,43.7695604,11.2558136,#,Lahrkamp et al.: Geschichte: S. 97,3,#
Dietrich Kaspar von Fürstenberg,#,#,00.01.1641,00.12.1641,1641,Aufenthalt,#,#,Rom,2,Italy,Rom Italy,41.9027835,12.4963655,#,Lahrkamp et al.: Geschichte: S. 97,3,#
